Rank,Team
1,RandomCats
2,Z5
3,Cold Blooded
4,ΔX x Madness
5,Supremacy
5,Bleu Dragon
7,𝐁𝐄𝐍𝐄𝐀𝐓𝐇 𝐑𝐄𝐀𝐋𝐈𝐓𝐘
7,barsik
9,Anarchy Raccoons
9,NoLimits eSports
9,Kill-Streak Monkey
9,Focus
13,EON
13,Death Cloud Esport
13,CLUTCH V
13,Saviors
17,Blind Spot
17,HzX
17,AKI
17,Onryo
17,Ωrigin x DMD
17,DX x MIST
17,JabberWock
17,The Old Firm
25,ʏᴏꜱʜɪ
25,NightFall
25,Vorpal sword
25,SOL | Invictus
25,Vanta Edge
25,Brussels JK
25,BLind OWLS
25,Maledict
33,Classic V
33,African Ducks
33,VEX
33,Dark Impulse
33,Orvex Esport
33,mini PEKKA
33,RΛCCΘΘN HUNTΞRS
33,FRAUDES
33,Revenants
33,VOLT Guardian Owls
33,LOS QUE PASHADA
33,CAA
33,Aura
33,Haze
33,La Pasión
33,HÓRUS F.C.
