Rank,Team
1,Majin Exode
2,FLOW RISING
3,Rainbow Raiders
4,NoLimits eSports
5,Haze
5,FLY KITSUNE
7,Classic V
7,Voidborn
9,Nova Strikers
9,Guardian Owls
9,Ravens
9,White Griffin
13,le bimbe di Panters
13,Lotus
13,NewCreation
13,ΞØN II
17,AXΞ
17,EGYPT
17,SPARTA
17,MKT NOVA
17,Brussels JK
17,Celestial Vortex
17,Feather 5
17,Nexus5 Esports
25,Black Rose
25,Fenix
25,Desert elders
25,Timón Holandés
25,VYBE
25,VØID Esport
25,Young Bastards Club
25,just 4 fun
33,Creation
33,Old Stars
33,Reborn eSports
33,Zenial E-Sports
33,ᴘʀʌɢᴍʌ ᴄʟʌɴ
