Rank,Team
1,PASTEL DE NATA
2,Crybabys
3,𝐁𝐄𝐍𝐄𝐀𝐓𝐇 𝐑𝐄𝐀𝐋𝐈𝐓𝐘
4,Blind Owls
5,Flow Riders
5,Supremacy
7,YUREI
7,anal
9,Str1ve eSports
9,VEX
9,Team MOIRAI
9,barsik
13,Focus
13,PEKKA
13,BETTER CALL SAUL
13,ZERO
17,ICE Gaming Group
17,Classic V
17,EOZ Ultima
17,Cold Blooded
17,Z5
17,Maledict
17,wildcats
17,YARMA BAŞKAN
25,PROJECT ZENIN
25,Monaco x AY
25,Les Simpson
25,Blind Spot
25,TT
25,Dark Impulse
25,Brussels JK
25,Ravens
33,Exotic Raccoons
33,Team Sniper
33,Anarchy
33,EON x FLR
33,ni rematch ni match
33,RXM
33,Revenants
33,Monarchy Esport
33,mini PEKKA
33,Death Cloud Esport
33,Bloody V
33,FC Origan
33,5 randoms
33,YOMI eSports
33,The Espadas
33,Aura
49,NoLimits eSports
49,PRIME EM XOS
49,Corvo
49,Drain Dogs
49,Blaze Esports
49,InFeriX Esports
49,DX x MIST
49,JustWatch
