Rank,Team
1,YUREI
2,vaffanculo ghastly
3,Monarchy
4,Majin Purple
5,Savage
5,BLIND OWLS
7,Winzy
7,Playing-Ducks
9,OVERDOZEE CIS
9,wildcats
9,IGP™ Ultima Team
9,La plèbe
13,ICE Gaming Group
13,Right Click
13,Nerdy guys
13,L4V
17,ORION ESPORTS
17,Golden Requiem
17,2010
17,FLOW RISING
17,Lotus
17,PackMiko E-sports
17,Black Lotus
17,ΩRIGIN
25,Cold Blooded
25,JUSTICE
25,EGYPT
25,Ravens
25,Renascença
25,La Pasión
25,NoLimits eSport
25,Seraphim
33,Drain Cats
33,Haze
33,ELEPHANT
33,Classic V
33,Creation
33,Voidborn
33,SOLARIS
33,Orpheus
33,UDG
33,RΞFLEX FC
33,Blaze Esports
33,Clap You
33,F5 Black
33,New Creation
33,Phantom Prodigies
33,黄泉 YOMI eSports
