Rank,Team
1,OVERDOZEE
2,ASTRA
3,MOIRAI
3,wildcats
5,Flow Riders
5,VOLARE
5,Str1ve eSports
5,KIN
9,Drain Cats
9,OVERDOZEE CIS
9,Blind Owls
9,PASTEL DE NATA
13,Better Call Saul
13,Dark Impulse
13,Yurei
13,Monaco x Ay
17,PEKKA
17,Madness
17,Blind Spot
17,barsik
17,Exotic Raccoons
17,Death Cloud Esports
17,VEX
17,𝐁𝐄𝐍𝐄𝐀𝐓𝐇 𝐑𝐄𝐀𝐋𝐈𝐓𝐘
25,Cold Blooded
25,HAKI
25,Focus
25,WildCard
25,Haze
25,Midnight
25,Renascença
25,Virtual Dragons
33,Ultras
33,YOMI eSports
33,ΔX x MIST
33,PRAGMA CLAN
33,Ravens
33,Vortex
33,Chill
33,Drain Dogs
33,PAS V
33,Revenants
33,The Simpson
33,Anarchy
33,Domestic puppies
33,Classic V
33,EON x FLR
33,ICE Gaming Group
49,GCC
49,Born To Evolve
49,Z5
49,RAVE
49,Backstreet Moyes
49,Brussels JK
49,InFeriX Esports
49,FC EBY
49,H&H TC
49,Aura
49,Fivefold Demolition
49,Team Sniper Revive
49,onryo
49,Maledict
49,Zero
49,FXB
65,SANGUINE
65,SOL Invictus
65,FENIX
65,The lions
65,Rain-T FC
65,Project corvus
65,PROJECT ZENIN
65,Zitoune FC
65,Corvo
65,RXM Esports
65,ZXC TEAM
65,Prodigy
65,TydaLStride
65,[FC Sdah] - Équipe A
