Rank,Team
1,MOIRAI
2,barsik
3,Flow Riders
4,PEKKA
5,Reborn Xi
5,Renascença
7,EON
7,HAKI
9,∆X x Madness
9,Cold Blooded
9,ICE Gaming Group
9,DSQ Esports
13,BENEATH REALITY
13,Zentrix Esports
13,Brussels JK Black
13,Brussels JK
17,Blind Owls
17,Dark Impulse
17,Focus
17,ACE
17,Goal Digger
17,Anarchy
17,Saviors
17,X5
25,Exotic Raccoons
25,Project corvus
25,Ravens
25,Tankuju Plzeň
25,Death Cloud Esports
25,onryo
25,AKI
25,Midnight
33,SUPER BUFF ULTRA HOT SECRET SERVICE MEN OF GAMING PS. W MOROCCO
33,Random kids
33,Nexus
33,IKANA
33,ORSPU
33,Revenants ˣ Limitless
33,SOL Invictus
33,Haze
