Rank,Team
1,OVERDOZEE
2,Str1ve eSports
3,ΩRIGIN
4,Team MOIRAI
5,YUREI
5,Pride Warriors
7,Savage
7,The Last Five
9,OVERDOZEE CIS
9,X5
9,PackMiko E-sports
9,EOZ Ultima
13,Madness
13,ᴘʀʌɢᴍʌ ᴄʟʌɴ
13,Ivory Mantis
13,La Pasión
17,Seraphim
17,PROJECT ZENIN
17,TEAM ENVOY
17,Dual Esports
17,Exotic Raccoons
17,BOMBASTIC
17,Jinga
17,SunChasers FC
25,Veni vidi vici
25,Cold Blooded
25,ᴬⁿᵃʳᶜʰʸ
25,Chaos
25,NoLimits eSport
25,黄泉 YOMI eSports
25,InFeriX Esports
25,Triple R
33,ICE Gaming Group
33,TEAM ZENITH
33,Esperion Esports
