Rank,Team
1,Team MOIRAI
2,VOLARE
3,OVERDOZEE
3,Zenith
5,Reborn Xi
5,Winzy
5,Renascença
5,Exotic Raccoons
9,Our Enemies Across The Sea
10,Madness
11,Flow Riders
12,xanax
13,DeltaX Golden Requiem
14,Dark Impact
15,MOIRAI CIS
16,TRIPLE SIX
17,WWLUGANSK
18,Ivory Mantis
19,DSQ Esports
20,Zentrix Esports
21,Blind Owls
22,YOMI eSports
23,Str1ve eSports
24,Aziz clock
25,FuckLFT
26,∆X Black Swans
27,Cold Blooded
28,Bella frocius
29,ACE
30,Dark Instinct
31,Totally spies
32,Brussels JK
33,InFeriX Esports
34,OverProdigy
35,Dark Impulse
36,False 5 Black
37,Velzar
38,RXM Esports
39,AKI
40,YOSHI
41,Classic V
42,EON
43,Haze
44,OVERDOZEE CIS
45,Ravens
46,EDEN
47,Galactic Baboons
48,onryo
49,PRAGMA CLAN
50,Brussels JK Black
51,Goal Digger
52,Young Bastards Club
53,VOLT Guardian Owls
54,AQUASERVICIO
55,The Old Firm
56,Aedern
57,HELLOKITY
58,ICE Gaming Group
59,TΞMPO
60,BLUELOCK
61,mini PEKKA
62,Revenants ˣ Limitless
63,Exode
64,ZXC TEAM
65,JabberWock
