Rank,Team
1,Majin Purple
2,BENATH REALITY
3,KIN
3,Zatrox Esports
5,Reborn Xi
5,Samba Cookers
5,Playing-Ducks
5,Focus
9,ΞØN Esports
9,Haze
9,Voltage
9,SPARTA
9,Classic V
9,IGP™ Ultima Team
9,Desert elders
9,Voidborn
17,4AM
17,OVERDOZEE CIS
17,Black Rose
17,ICE Gaming Group
17,Mysteries of Bangladesh
17,FLY KITSUNE
17,Savage
17,Veni Vidi Vici
17,Final Shape
17,Lotus
17,Reborn eSports
17,Oblivion Blades FC
17,PΛLΛDINS
17,Looking for Team
17,Re-volution
17,Voidrose
33,Cold Blooded
33,ELEPHANT
33,MKT NOVA
33,Brussels JK
33,FLOW RISING
33,REFLEX FC
33,Zero Two is our queen
33,ᴬⁿᵃʳᶜʰʸ
