Rank,Team
1,OVERDOZEE CIS
2,El Toreador Comeback
3,Team MOIRAI
4,Str1ve eSports
5,After Hours
5,very secret team
7,ΔX x Madness
7,Morocco
9,Haki
9,barsik
9,Sesso
9,Crybabys
13,Flow Riders
13,YOMI eSports
13,AKI
13,SPOMPINATORI SPAZIALI
17,Classic V
17,Zentrix Esports
17,Blind Owls
17,DSQ
17,X5
17,Anarchy Raccoons
17,𝐁𝐄𝐍𝐄𝐀𝐓𝐇 𝐑𝐄𝐀𝐋𝐈𝐓𝐘
17,Revenant
25,Onryo
25,Death Cloud Esport
25,UPPER90
25,The Old Firm
25,mini PEKKA
25,VOLT Guardian Owls
25,Brussels JK
25,La Pasión
33,Cold Blooded
33,Vortex
33,InFeriX Esports
33,EON
33,Ωrigin x DMD
33,ACE
33,Revenants
33,Meow Fc
33,F5 Black
33,ʏᴏꜱʜɪ
33,ZERO
33,CLUTCH V
33,Backboarders
33,Super secret team
33,Shikaku
33,Full Send Protocol
49,Aurora FC
49,Renascença
49,DX x MIST
49,JabberWock
