Rank,Team
1,OVERDOZEE
2,TEAM MOIRAI
3,OVERDOZEE CIS
4,Ivory Mantis
5,DSQ Esports
5,Kin
7,Renascença
7,Winzy
9,Dark Instinct
9,ΔX x Black Swans
9,Madness
9,Str1ve eSports
13,Exotic Raccoons
13,Reborn Xi
13,Jinga
13,Kali's minions
17,FUCKLFT
17,AKI
17,Zenith
17,Exode
17,Dark Impulse
17,SUSLIK TEAM
17,WWLUGAN$K
17,ICE Gaming Group
25,F5 Black
25,ΔX Golden Requiem
25,Velzar
25,VOLARE
25,BENEATH REALITY
25,Anarchy Mayhem
25,Desire
25,𝔻𝕚𝕔𝕥𝕒𝕥𝕠𝕣𝕤
33,Cold Blooded
33,PXG
33,EON
33,False 5 Blue
33,TRIPLE SIX
33,Ravens
33,mini PEKKA
33,NoLimits Esports
33,ACE
33,Onryo
33,5wlan
33,Infinite
33,Insomnia
33,Aedern
33,WildCard
33,VALHALLA
49,Flow Riders
49,TENRYU
49,Zentrix Esports
49,SYNCΞD RFC
49,Young Bastards Club
49,Oro Team
49,Brussels JK
