Rank,Team
1,Monarchy EC
2,OVERDOZEE
3,Morty's Minions
3,Str1ve eSports
5,Ivory Mantis
5,chicken sellers
5,Ωrigin
5,Team ANDREA
9,Karma
9,wildcats
9,Yurei
9,Majin Purple
9,PlayingDucksᴿᴹ
9,Senger X
9,Bum Squad
9,SPK x VOL
17,Winzy
17,ΞØN Esports
17,Beneath Reality
17,Golden Requiem
17,Black Rose
17,Right Click
17,Savage
17,PEKKA
17,ELEPHANT
17,Fly Kitsune
17,Clutch V
17,Mysteries Of Bangladesh
17,KIN EU
17,Focus
17,KOI
17,Team KØREX
33,ICE Gaming Group
33,SPARTA
33,FENIX
33,Justice
33,Lotus
33,La Pasión
33,Phantom Prodigies
33,Anarchy
33,BigTeam
33,Dimar Academy
33,GŁ Raikou
33,Travesaños ERC
33,Xeptonians
