Rank,Team
1,Monarchy EC
2,Orion Esports
3,NME
3,KIN
5,100X35
5,Str1ve Corp
5,OVERDOZEE
5,SPK x FLR
9,Str1ve eSports
9,Karma
9,VEX
9,Lockdown FC (Beneath)
13,Dark Knights
13,IGP™ Ultima Team
13,Majin Purple
13,lux5
17,X5
17,wildcats
17,Guardian Owls
17,Fly Kitsune
17,Yurei
17,Desert Elders
17,ASTRA eSports
17,EVOLV
17,Lockdown FC (Beneath)
25,Entropy
25,We Hate Crossing
25,Nova Strikers
25,Right Click
25,Savage
25,Mysteries Of Bangladesh
25,Casters
25,EON II
33,Syndicate
33,EON Esports
33,Minus Tempø
33,PKM
33,Cold Blooded
33,SPARTA
33,ELEPHANT
33,FENIX
33,I CAME TO GOON
33,La Plèbe
33,NoLimits eSports
33,Orion FC NA
33,Overdozee CIS
33,Timón Holandés
33,Vanilla Ice
33,White yokai esports
49,Black Rose
49,Drain Cats
49,Nomade Esport
49,Serenity
49,Classic V
49,XTZ
49,Creation
49,Crousty FC
49,Goten disciples
49,OVERDOZEE NA
49,PHOENIX
49,Raikou FC
49,Roundabout Girl
49,RxM
49,YOYO BOYS
49,Young Bastards Club
49,Raikou
65,Il Corvo
65,Ravens
65,1COIN
65,PackMiko
65,10 game
65,AliensDz
65,Azentric
65,Cannella Lovers
65,Cracked up
65,Eclips Wardens Sigma Crew
65,FC Sdah
65,Feather 5
65,Final shape
65,Gen1 Esports
65,Goon Squad
65,Grup Canni
65,Jessico calcetto
65,KAC
65,Loco V
65,MKT NoVa
65,Majin Exode
65,Negros FC
65,Old Stars
65,Paysandu
65,Phantom Wolves
65,Rematchers United
65,River Fake
65,Shark Elite
65,TEAM ANCOS FC
65,The Cool Guys
65,Vybe
65,syrax
97,Vkings
