Rank,Team
1,OVERDOZEE
2,VOLARE
3,ASTRA
3,KIN
5,Drain Cats
5,Str1ve eSports
5,EON
5,𝐁𝐄𝐍𝐄𝐀𝐓𝐇 𝐑𝐄𝐀𝐋𝐈𝐓𝐘
9,Exotic Raccoons
9,OVERDOZEE CIS
9,wildcats
9,Flow Riders
13,Blind Owls
13,PEKKA
13,NoLimits eSports
13,Monaco x Ay
17,Reborn Xi
17,Anarchy
17,AKI
17,Renascença
17,barsik
17,VEX
17,ΔX x MIST
17,Focus
25,Brussels JK
25,WildCard
25,Blind Spot
25,NightFall
25,Dark Impulse
25,After Hours
25,EOZ
25,HAKI
33,Fivefold Demolition
33,Backstreet Moyes
33,InFeriX Esports
33,[FC Sdah] - Équipe A
33,The Old Firm
33,Ravens ESP
33,mini PEKKA
33,Desert Elders
33,Zero
33,onryo
33,SOL Invictus
33,RXM Esports
33,ICE Gaming Group
33,Cold Blooded
33,Vanta Edge
33,FENIX
49,Death Cloud Esports
49,VVA
49,HELLOKITY
49,Casull
49,Chill
49,Classic V
49,YOMI eSports
49,Orvex Esport
49,Revenants
49,CSHouse
49,∆X x Madness
49,VOLT Guardian Owls
49,Skepsis gaming
49,Prodigy
63,C.A.A
