Rank,Team
1,100X35
2,Karma
3,ORION ESPORTS
3,Monarchy EC
5,KIN
5,NME
5,Syndicate
5,FLY KITSUNE
9,EVOLV
9,OVERDOZEE CIS
9,We Hate Crossing
9,Right Click
9,ELEPHANT
9,2010
9,ON VA A QUICK WSHH
9,mute
17,After Hours
17,wildcats
17,PKM
17,Scandinavia
17,Mysteries Of Canada
17,Minus Tempø
17,Reborn Xi
17,ELLE EST DEDANS JE PROMET ELLE EST DEDANS
17,Bloody V
17,ICE Gaming Group
27,SPK x FLR
28,FLOW RISING
29,Entropy
30,Nomade Esport
31,EON II
32,Phantom Wolves Esports
33,YUREI
34,BJK Black
35,Drain Cats
36,For Sure
37,Savage
38,Mysteries of Bangladesh
39,RXM
40,BLAZE E-SPORT
41,Nexus5 Esports
42,Eclipse Wardens Alpha
43,The Disappointments
44,Str1ve eSports
45,Veni vidi vici
46,Desert elders
47,Eclipse Wardens Omega
48,IGP™ Ultima Team
49,MKT NOVA
50,VEX
51,Eclipse
