Rank,Team
1,OVERDOZEE
2,wildcats
3,ASTRA
4,Kin
5,Team MOIRAI
5,After Hours
7,VOLARE
7,Str1ve eSports
9,Flow Riders
9,Death Cloud Esport
9,Reborn Xi
9,ΔX x Madness
13,Renascença
13,Supremacy
13,OVERDOZEE CIS
13,X5
17,Anarchy Raccoons
17,𝐁𝐄𝐍𝐄𝐀𝐓𝐇 𝐑𝐄𝐀𝐋𝐈𝐓𝐘
17,barsik
17,NoLimits eSports
17,DX x MIST
17,Brussels JK
17,Dark Impulse
17,Ðẞ5S
25,VEX
25,ICE Gaming Group
25,ᴍᴏɴᴀᴄᴏ x Aᵧ LAST DANCE
25,AKI
25,Ωrigin x DMD
25,Blind Owls
25,EOZ Ultima
25,WildCard
33,ʏᴏꜱʜɪ
33,Full Send Protocol
33,ΔX ΣILENT ΚΔᵏᵘʲΔ
33,Zentrix Esports
33,SerapH eSports
