Rank,Team
1,100X35
2,Monarchy EC
3,OVERDOZEE
4,Str1ve Corp
5,KIN
5,ELEPHANT
7,YUREI
7,Dark Knights
9,EON Esports
9,wildcats
9,Desert elders
9,McFlurry LVRS
13,Morty's Minions
13,Str1ve eSports
13,Savage
13,ASTRA
17,Entropy
17,Syndicate
17,We Hate Crossing
17,X5
17,SPK x FLR
17,VEX
17,EVOLV
17,PackMiko
25,Reborn Xi
25,Karma
25,Minus Tempø
25,Cold Blooded
25,Valhalla
25,1COIN
25,Madness
25,New Team
33,NME
33,ORION ESPORTS
33,OVERDOZEE CIS
33,RXM
33,Right Click
33,SPARTA
33,Jingshen
33,IGP™ Ultima Team
33,Final Shape
33,Majin Purple
