Rank,Team
1,OVERDOZEE
2,Kin
3,Wildcats
4,Abaraka Never
5,Str1ve eSports
5,El Toreador Comeback
7,Flow Riders
7,Anarchy Raccoons
9,Blind Owls
9,PEKKA
9,NoLimits eSports
9,barsik
13,UPPER90
13,Reborn Xi Tryout
13,mini PEKKA
13,Haki
17,Team MOIRAI
17,Cold Blooded
17,Midnight
17,Renascença
17,SerapH eSports
17,Saviors
17,Dick Riders
17,Goal Digger
25,Zentrix Esports
25,Death Cloud Esport
25,Insomnia
25,False 5 Blue
25,Onryo
25,BJK Black
25,Unemployed Reitred FC
25,aziz show clock
33,Aurora FC
33,DSQ Esports
33,Better Call Orço
33,Haze
33,Kurai
33,X5
33,Anarchy
33,YOMI eSports
33,Revenants ˣ Limitless
33,Oro Team
33,FAD
33,Backboarders
33,Bape
33,The Old Firm
33,Young Bastards Club
33,CLUTCH V
49,AKI
49,F5 Black
49,DX x Madness
49,Ωrigin x DMD
49,Meow Fc
