Rank,Team
1,VOLARE
2,wildcats
3,Exotic Raccoons
3,KIN
5,EON
5,MOIRAI
5,EOZ Ultima
5,ICE Gaming Group
9,Blind Owls
9,praxis
9,OVERDOZEE
9,Phantom Prodigies
9,Str1ve eSports
9,Brussels JK
9,La Pasión
9,Yurei
17,1Motive
17,K-ill S-treak Monkeys
17,Voidborn
17,X5
21,PackMiko E-sports
21,Majin Purple
21,ORIGIN
21,SOLID
25,Haki
25,Anarchy
25,Chill
25,Blind Spot
25,Dethrone
25,Ravens
25,Cold Blooded
25,Corvo
33,WildCard
33,Vortex
33,RΞFLEX FC
33,Feather 5
33,Zero
33,Royal Lions
33,Vortex
33,THE VOID
33,Dual Esports
33,Madness
33,PRAGMA CLAN
33,Clutch V
33,Ice Dragon
