Rank,Team,points,formula
1,RandomCats,100,100.00
2,Z5,80,80.00
3,Cold Blooded,65,65.00
4,ΔX x Madness,55,55.00
5,Supremacy,45,45.00
5,Bleu Dragon,45,45.00
7,𝐁𝐄𝐍𝐄𝐀𝐓𝐇 𝐑𝐄𝐀𝐋𝐈𝐓𝐘,35,35.00
7,barsik,35,35.00
9,Anarchy Raccoons,25,25.00
9,NoLimits eSports,25,25.00
9,Kill-Streak Monkey,25,25.00
9,Focus,25,25.00
13,EON,18,18.00
13,Death Cloud Esport,18,18.00
13,CLUTCH V,18,18.00
13,Saviors,18,18.00
17,Blind Spot,12,12.00
17,HzX,12,12.00
17,AKI,12,12.00
17,Onryo,12,12.00
17,Ωrigin x DMD,12,12.00
17,DX x MIST,12,12.00
17,JabberWock,12,12.00
17,The Old Firm,12,12.00
25,ʏᴏꜱʜɪ,8,8.00
25,NightFall,8,8.00
25,Vorpal sword,8,8.00
25,SOL | Invictus,8,8.00
25,Vanta Edge,8,8.00
25,Brussels JK,8,8.00
25,BLind OWLS,8,8.00
25,Maledict,8,8.00
33,Classic V,4,4.00
33,African Ducks,4,4.00
33,VEX,4,4.00
33,Dark Impulse,4,4.00
33,Orvex Esport,4,4.00
33,mini PEKKA,4,4.00
33,RΛCCΘΘN HUNTΞRS,4,4.00
33,FRAUDES,4,4.00
33,Revenants,4,4.00
33,VOLT Guardian Owls,4,4.00
33,LOS QUE PASHADA,4,4.00
33,CAA,4,4.00
33,Aura,4,4.00
33,Haze,4,4.00
33,La Pasión,4,4.00
33,HÓRUS F.C.,4,4.00
