Rank,Team,points,formula
1,Exiled,100,100.00
2,Playing-Ducks,80,80.00
3,PackMiko E-sports,65,65.00
4,Senger X,55,55.00
5,Haze,45,45.00
5,FLY KITSUNE,45,45.00
7,JUSTICE,35,35.00
7,La Pasión,35,35.00
9,ICE Gaming Group,25,25.00
9,Classic V,25,25.00
9,noName,25,25.00
9,L4V,25,25.00
13,Mysteries of Bangladesh,18,18.00
13,Voidborn,18,18.00
13,SOLARIS,18,18.00
13,Chaos,18,18.00
17,ORION ESPORTS,12,12.00
17,Cold Blooded,12,12.00
17,IGP™ Ultima Team,12,12.00
17,Final Shape,12,12.00
17,Under Heaven,12,12.00
17,Creation,12,12.00
17,Zatrox Esports,12,12.00
17,Black Lotus,12,12.00
25,Ravens,8,8.00
25,The Royals,8,8.00
25,Focus,8,8.00
25,ᴬⁿᵃʳᶜʰʸ,8,8.00
25,UDG,8,8.00
25,La plèbe,8,8.00
25,RIPTIDE,8,8.00
25,Young Vamps Esports,8,8.00
33,Black Rose,4,4.00
33,Veni vidi vici,4,4.00
33,Voltage,4,4.00
33,EGYPT,4,4.00
33,MKT NOVA,4,4.00
33,FLOW RISING,4,4.00
33,Lotus,4,4.00
33,Nerdy guys,4,4.00
33,Bébébite,4,4.00
33,Delusion,4,4.00
33,Estoinas RC,4,4.00
33,NoLimits eSport,4,4.00
33,PYTERO4KA,4,4.00
33,RΞFLEX FC,4,4.00
