Rank,Team,points,formula
1,Haze,100,100.00
2,Cold Blooded,80,80.00
3,Tasty Crousty FC,65,65.00
3,∆X Black Swans,65,65.00
5,Dark Impact,45,45.00
5,Anarchy Mayhem,45,45.00
5,ACE,45,45.00
5,The Old Firm,45,45.00
9,Death Cloud Esports,25,25.00
10,EKM,25,25.00
11,Brussels JK,25,25.00
12,VOLT Guardian Owls,25,25.00
13,Anarchy,18,18.00
14,Vanta Edge,18,18.00
15,onryo,18,18.00
16,EDEN,18,18.00
17,YOMI eSports,12,12.00
18,PXG U20,12,12.00
19,Aedern,12,12.00
20,Ravens,12,12.00
21,Blind Owls,12,12.00
22,Lotus,12,12.00
23,Aurora FC,12,12.00
24,Fly To Moon,12,12.00
25,TRIPLE SIX,8,8.00
26,Young Ballers Revival,8,8.00
27,Midnight,8,8.00
28,WildCard,8,8.00
29,Vaelis,8,8.00
30,BackBoarders,8,8.00
31,Brussels JK Black,8,8.00
32,AETERNVS,8,8.00
33,HELLOKITY,4,4.00
