Rank,Team,points,formula
1,Winzy,100,100.00
2,Trapani FC,80,80.00
3,PEKKA,65,65.00
4,FC ELEPHANT,55,55.00
5,Golden Requiem,45,45.00
5,UDG,45,45.00
7,IGP™ Ultima Team,35,35.00
7,ᴬⁿᵃʳᶜʰʸ,35,35.00
9,Majin Purple,25,25.00
9,Ivory Mantis,25,25.00
9,Haunted,25,25.00
9,KOI,25,25.00
13,Ravens,18,18.00
13,La Pasión,18,18.00
13,Chaos,18,18.00
13,TEAM ZENITH,18,18.00
17,ΞØN Esports,12,12.00
17,Black Rose,12,12.00
17,Drain Cats,12,12.00
17,Mysteries of Bangladesh,12,12.00
17,FLOW RISING,12,12.00
17,Vape Club,12,12.00
17,BLIND OWLS,12,12.00
17,Phantom Prodigies,12,12.00
25,Phoenix Dynasty,8,8.00
25,Haze,8,8.00
25,JUSTICE,8,8.00
25,NoLimits eSport,8,8.00
25,AMQ,8,8.00
