Rank,Team,points,formula
1,PASTEL DE NATA,100,100.00
2,Crybabys,80,80.00
3,𝐁𝐄𝐍𝐄𝐀𝐓𝐇 𝐑𝐄𝐀𝐋𝐈𝐓𝐘,65,65.00
4,Blind Owls,55,55.00
5,Flow Riders,45,45.00
5,Supremacy,45,45.00
7,YUREI,35,35.00
7,anal,35,35.00
9,Str1ve eSports,25,25.00
9,VEX,25,25.00
9,Team MOIRAI,25,25.00
9,barsik,25,25.00
13,Focus,18,18.00
13,PEKKA,18,18.00
13,BETTER CALL SAUL,18,18.00
13,ZERO,18,18.00
17,ICE Gaming Group,12,12.00
17,Classic V,12,12.00
17,EOZ Ultima,12,12.00
17,Cold Blooded,12,12.00
17,Z5,12,12.00
17,Maledict,12,12.00
17,wildcats,12,12.00
17,YARMA BAŞKAN,12,12.00
25,PROJECT ZENIN,8,8.00
25,Monaco x AY,8,8.00
25,Les Simpson,8,8.00
25,Blind Spot,8,8.00
25,TT,8,8.00
25,Dark Impulse,8,8.00
25,Brussels JK,8,8.00
25,Ravens,8,8.00
33,Exotic Raccoons,4,4.00
33,Team Sniper,4,4.00
33,Anarchy,4,4.00
33,EON x FLR,4,4.00
33,ni rematch ni match,4,4.00
33,RXM,4,4.00
33,Revenants,4,4.00
33,Monarchy Esport,4,4.00
33,mini PEKKA,4,4.00
33,Death Cloud Esport,4,4.00
33,Bloody V,4,4.00
33,FC Origan,4,4.00
33,5 randoms,4,4.00
33,YOMI eSports,4,4.00
33,The Espadas,4,4.00
33,Aura,4,4.00
49,NoLimits eSports,1,1.00
49,PRIME EM XOS,1,1.00
49,Corvo,1,1.00
49,Drain Dogs,1,1.00
49,Blaze Esports,1,1.00
49,InFeriX Esports,1,1.00
49,DX x MIST,1,1.00
49,JustWatch,1,1.00
