Rank,Team,points,formula
1,YUREI,100,100.00
2,vaffanculo ghastly,80,80.00
3,Monarchy,65,65.00
4,Majin Purple,55,55.00
5,Savage,45,45.00
5,BLIND OWLS,45,45.00
7,Winzy,35,35.00
7,Playing-Ducks,35,35.00
9,OVERDOZEE CIS,25,25.00
9,wildcats,25,25.00
9,IGP™ Ultima Team,25,25.00
9,La plèbe,25,25.00
13,ICE Gaming Group,18,18.00
13,Right Click,18,18.00
13,Nerdy guys,18,18.00
13,L4V,18,18.00
17,ORION ESPORTS,12,12.00
17,Golden Requiem,12,12.00
17,2010,12,12.00
17,FLOW RISING,12,12.00
17,Lotus,12,12.00
17,PackMiko E-sports,12,12.00
17,Black Lotus,12,12.00
17,ΩRIGIN,12,12.00
25,Cold Blooded,8,8.00
25,JUSTICE,8,8.00
25,EGYPT,8,8.00
25,Ravens,8,8.00
25,Renascença,8,8.00
25,La Pasión,8,8.00
25,NoLimits eSport,8,8.00
25,Seraphim,8,8.00
33,Drain Cats,4,4.00
33,Haze,4,4.00
33,ELEPHANT,4,4.00
33,Classic V,4,4.00
33,Creation,4,4.00
33,Voidborn,4,4.00
33,SOLARIS,4,4.00
33,Orpheus,4,4.00
33,UDG,4,4.00
33,RΞFLEX FC,4,4.00
33,Blaze Esports,4,4.00
33,Clap You,4,4.00
33,F5 Black,4,4.00
33,New Creation,4,4.00
33,Phantom Prodigies,4,4.00
33,黄泉 YOMI eSports,4,4.00
