Rank,Team,points,formula
1,Monarchy EC,100,2100.00
2,Orion Esports,80,1680.00
3,NME,65,1365.00
3,KIN,65,1365.00
5,100X35,45,945.00
5,Str1ve Corp,45,945.00
5,OVERDOZEE,45,945.00
5,SPK x FLR,45,945.00
9,Str1ve eSports,25,525.00
9,Karma,25,525.00
9,VEX,25,525.00
9,Lockdown FC (Beneath),25,525.00
13,Dark Knights,18,378.00
13,IGP™ Ultima Team,18,378.00
13,Majin Purple,18,378.00
13,lux5,18,378.00
17,X5,12,252.00
17,wildcats,12,252.00
17,Guardian Owls,12,252.00
17,Fly Kitsune,12,252.00
17,Yurei,12,252.00
17,Desert Elders,12,252.00
17,ASTRA eSports,12,252.00
17,EVOLV,12,252.00
17,Lockdown FC (Beneath),12,252.00
25,Entropy,8,168.00
25,We Hate Crossing,8,168.00
25,Nova Strikers,8,168.00
25,Right Click,8,168.00
25,Savage,8,168.00
25,Mysteries Of Bangladesh,8,168.00
25,Casters,8,168.00
25,EON II,8,168.00
33,Syndicate,4,84.00
33,EON Esports,4,84.00
33,Minus Tempø,4,84.00
33,PKM,4,84.00
33,Cold Blooded,4,84.00
33,SPARTA,4,84.00
33,ELEPHANT,4,84.00
33,FENIX,4,84.00
33,I CAME TO GOON,4,84.00
33,La Plèbe,4,84.00
33,NoLimits eSports,4,84.00
33,Orion FC NA,4,84.00
33,Overdozee CIS,4,84.00
33,Timón Holandés,4,84.00
33,Vanilla Ice,4,84.00
33,White yokai esports,4,84.00
49,Black Rose,1,21.00
49,Drain Cats,1,21.00
49,Nomade Esport,1,21.00
49,Serenity,1,21.00
49,Classic V,1,21.00
49,XTZ,1,21.00
49,Creation,1,21.00
49,Crousty FC,1,21.00
49,Goten disciples,1,21.00
49,OVERDOZEE NA,1,21.00
49,PHOENIX,1,21.00
49,Raikou FC,1,21.00
49,Roundabout Girl,1,21.00
49,RxM,1,21.00
49,YOYO BOYS,1,21.00
49,Young Bastards Club,1,21.00
49,Raikou,1,21.00
65,Il Corvo,,
65,Ravens,,
65,1COIN,,
65,PackMiko,,
65,10 game,,
65,AliensDz,,
65,Azentric,,
65,Cannella Lovers,,
65,Cracked up,,
65,Eclips Wardens Sigma Crew,,
65,FC Sdah,,
65,Feather 5,,
65,Final shape,,
65,Gen1 Esports,,
65,Goon Squad,,
65,Grup Canni,,
65,Jessico calcetto,,
65,KAC,,
65,Loco V,,
65,MKT NoVa,,
65,Majin Exode,,
65,Negros FC,,
65,Old Stars,,
65,Paysandu,,
65,Phantom Wolves,,
65,Rematchers United,,
65,River Fake,,
65,Shark Elite,,
65,TEAM ANCOS FC,,
65,The Cool Guys,,
65,Vybe,,
65,syrax,,
97,Vkings,,
