Rank,Team,points,formula
1,OVERDOZEE,100,1700.00
2,ASTRA,80,1360.00
3,MOIRAI,65,1105.00
3,wildcats,65,1105.00
5,Flow Riders,45,765.00
5,VOLARE,45,765.00
5,Str1ve eSports,45,765.00
5,KIN,45,765.00
9,Drain Cats,25,425.00
9,OVERDOZEE CIS,25,425.00
9,Blind Owls,25,425.00
9,PASTEL DE NATA,25,425.00
13,Better Call Saul,18,306.00
13,Dark Impulse,18,306.00
13,Yurei,18,306.00
13,Monaco x Ay,18,306.00
17,PEKKA,12,204.00
17,Madness,12,204.00
17,Blind Spot,12,204.00
17,barsik,12,204.00
17,Exotic Raccoons,12,204.00
17,Death Cloud Esports,12,204.00
17,VEX,12,204.00
17,𝐁𝐄𝐍𝐄𝐀𝐓𝐇 𝐑𝐄𝐀𝐋𝐈𝐓𝐘,12,204.00
25,Cold Blooded,8,136.00
25,HAKI,8,136.00
25,Focus,8,136.00
25,WildCard,8,136.00
25,Haze,8,136.00
25,Midnight,8,136.00
25,Renascença,8,136.00
25,Virtual Dragons,8,136.00
33,Ultras,4,68.00
33,YOMI eSports,4,68.00
33,ΔX x MIST,4,68.00
33,PRAGMA CLAN,4,68.00
33,Ravens,4,68.00
33,Vortex,4,68.00
33,Chill,4,68.00
33,Drain Dogs,4,68.00
33,PAS V,4,68.00
33,Revenants,4,68.00
33,The Simpson,4,68.00
33,Anarchy,4,68.00
33,Domestic puppies,4,68.00
33,Classic V,4,68.00
33,EON x FLR,4,68.00
33,ICE Gaming Group,4,68.00
49,GCC,1,17.00
49,Born To Evolve,1,17.00
49,Z5,1,17.00
49,RAVE,1,17.00
49,Backstreet Moyes,1,17.00
49,Brussels JK,1,17.00
49,InFeriX Esports,1,17.00
49,FC EBY,1,17.00
49,H&H TC,1,17.00
49,Aura,1,17.00
49,Fivefold Demolition,1,17.00
49,Team Sniper Revive,1,17.00
49,onryo,1,17.00
49,Maledict,1,17.00
49,Zero,1,17.00
49,FXB,1,17.00
65,SANGUINE,,
65,SOL Invictus,,
65,FENIX,,
65,The lions,,
65,Rain-T FC,,
65,Project corvus,,
65,PROJECT ZENIN,,
65,Zitoune FC,,
65,Corvo,,
65,RXM Esports,,
65,ZXC TEAM,,
65,Prodigy,,
65,TydaLStride,,
65,[FC Sdah] - Équipe A,,
