Rank,Team,points,formula
1,MOIRAI,100,100.00
2,barsik,80,80.00
3,Flow Riders,65,65.00
4,PEKKA,55,55.00
5,Reborn Xi,45,45.00
5,Renascença,45,45.00
7,EON,35,35.00
7,HAKI,35,35.00
9,∆X x Madness,25,25.00
9,Cold Blooded,25,25.00
9,ICE Gaming Group,25,25.00
9,DSQ Esports,25,25.00
13,BENEATH REALITY,18,18.00
13,Zentrix Esports,18,18.00
13,Brussels JK Black,18,18.00
13,Brussels JK,18,18.00
17,Blind Owls,12,12.00
17,Dark Impulse,12,12.00
17,Focus,12,12.00
17,ACE,12,12.00
17,Goal Digger,12,12.00
17,Anarchy,12,12.00
17,Saviors,12,12.00
17,X5,12,12.00
25,Exotic Raccoons,8,8.00
25,Project corvus,8,8.00
25,Ravens,8,8.00
25,Tankuju Plzeň,8,8.00
25,Death Cloud Esports,8,8.00
25,onryo,8,8.00
25,AKI,8,8.00
25,Midnight,8,8.00
33,SUPER BUFF ULTRA HOT SECRET SERVICE MEN OF GAMING PS. W MOROCCO,4,4.00
33,Random kids,4,4.00
33,Nexus,4,4.00
33,IKANA,4,4.00
33,ORSPU,4,4.00
33,Revenants ˣ Limitless,4,4.00
33,SOL Invictus,4,4.00
33,Haze,4,4.00
