Rank,Team,points,formula
1,Str1ve eSports,100,1220.00
2,wildcats,80,976.00
3,Orion Esports,65,793.00
3,Phantom's,65,793.00
5,ΞØN Esports,45,549.00
5,KIN EU,45,549.00
5,PlayingDucksᴿᴹ,45,549.00
5,The Chicks,45,549.00
9,Reborn Xi,25,305.00
9,SPK x FLR,25,305.00
9,Majin Purple,25,305.00
9,Monarchy EC,25,305.00
13,Str1ve Corp,18,219.60
13,OVERDOZEE,18,219.60
13,Yurei,18,219.60
13,PackMiko E-sports,18,219.60
17,ELEPHANT,12,146.40
17,Underdog Gaming,12,146.40
17,Fly Kitsune,12,146.40
17,IGP™ Ultima Team,12,146.40
17,ASTRA eSports,12,146.40
17,KlauzPool7,12,146.40
17,ANGELS,12,146.40
17,EnvyUs,12,146.40
25,SerapH eSports,8,97.60
