Rank,Team,points,formula
1,OVERDOZEE,100,880.00
2,Team MOIRAI,80,704.00
3,wildcats,65,572.00
4,VOLARE,55,484.00
5,Madness,45,396.00
5,Exotic Raccoons,45,396.00
7,Drain Cats,35,308.00
7,OVERDOZEE CIS,35,308.00
9,YUREI,25,220.00
9,Kin,25,220.00
9,Str1ve eSports,25,220.00
9,El Cid Campeonador,25,220.00
13,Monaco x AY,18,158.40
13,EOZ Ultima,18,158.40
13,ICE Gaming Group,18,158.40
13,Z5,18,158.40
17,EON x FLR,12,105.60
17,Focus,12,105.60
17,ASTRA,12,105.60
17,Bloody V,12,105.60
17,Reborn Xi,12,105.60
17,Morty's Minions,12,105.60
17,Renascença,12,105.60
17,VALNOX,12,105.60
25,NoLimits eSports,8,70.40
25,Dark Impulse,8,70.40
25,VEX,8,70.40
25,DX x MIST,8,70.40
25,Karma,8,70.40
25,InFeriX Esports,8,70.40
25,Savage,8,70.40
25,RXM,8,70.40
33,Classic V,4,35.20
33,Cold Blooded,4,35.20
33,Brussels JK,4,35.20
33,Blind Spot,4,35.20
33,L9,4,35.20
33,FRAUDES,4,35.20
33,mini PEKKA,4,35.20
33,Ravens,4,35.20
33,Haki,4,35.20
33,eclipse refund,4,35.20
33,YOMI eSports,4,35.20
33,PEKKA,4,35.20
33,Born To Evolve,4,35.20
33,Haze,4,35.20
33,Phantom Prodigies,4,35.20
33,Les Simpson,4,35.20
49,Mitsune,1,8.80
49,Anarchy,1,8.80
49,Fenix,1,8.80
49,Drain Dogs,1,8.80
49,ZERO,1,8.80
49,Team Villain,1,8.80
49,Team Solaris,1,8.80
49,Backboarders,1,8.80
49,Limitless eSports,1,8.80
49,Win Condition,1,8.80
49,PRIME EM XOS,1,8.80
49,Mythical Woods,1,8.80
