Rank,Team,points,formula
1,100X35,100,700.00
2,Monarchy EC,80,560.00
3,OVERDOZEE,65,455.00
4,Str1ve Corp,55,385.00
5,KIN,45,315.00
5,ELEPHANT,45,315.00
7,YUREI,35,245.00
7,Dark Knights,35,245.00
9,EON Esports,25,175.00
9,wildcats,25,175.00
9,Desert elders,25,175.00
9,McFlurry LVRS,25,175.00
13,Morty's Minions,18,126.00
13,Str1ve eSports,18,126.00
13,Savage,18,126.00
13,ASTRA,18,126.00
17,Entropy,12,84.00
17,Syndicate,12,84.00
17,We Hate Crossing,12,84.00
17,X5,12,84.00
17,SPK x FLR,12,84.00
17,VEX,12,84.00
17,EVOLV,12,84.00
17,PackMiko,12,84.00
25,Reborn Xi,8,56.00
25,Karma,8,56.00
25,Minus Tempø,8,56.00
25,Cold Blooded,8,56.00
25,Valhalla,8,56.00
25,1COIN,8,56.00
25,Madness,8,56.00
25,New Team,8,56.00
33,NME,4,28.00
33,ORION ESPORTS,4,28.00
33,OVERDOZEE CIS,4,28.00
33,RXM,4,28.00
33,Right Click,4,28.00
33,SPARTA,4,28.00
33,Jingshen,4,28.00
33,IGP™ Ultima Team,4,28.00
33,Final Shape,4,28.00
33,Majin Purple,4,28.00
