Rank,Team,points,formula
1,OVERDOZEE CIS,100,100.00
2,El Toreador Comeback,80,80.00
3,Team MOIRAI,65,65.00
4,Str1ve eSports,55,55.00
5,After Hours,45,45.00
5,very secret team,45,45.00
7,ΔX x Madness,35,35.00
7,Morocco,35,35.00
9,Haki,25,25.00
9,barsik,25,25.00
9,Sesso,25,25.00
9,Crybabys,25,25.00
13,Flow Riders,18,18.00
13,YOMI eSports,18,18.00
13,AKI,18,18.00
13,SPOMPINATORI SPAZIALI,18,18.00
17,Classic V,12,12.00
17,Zentrix Esports,12,12.00
17,Blind Owls,12,12.00
17,DSQ,12,12.00
17,X5,12,12.00
17,Anarchy Raccoons,12,12.00
17,𝐁𝐄𝐍𝐄𝐀𝐓𝐇 𝐑𝐄𝐀𝐋𝐈𝐓𝐘,12,12.00
17,Revenant,12,12.00
25,Onryo,8,8.00
25,Death Cloud Esport,8,8.00
25,UPPER90,8,8.00
25,The Old Firm,8,8.00
25,mini PEKKA,8,8.00
25,VOLT Guardian Owls,8,8.00
25,Brussels JK,8,8.00
25,La Pasión,8,8.00
33,Cold Blooded,4,4.00
33,Vortex,4,4.00
33,InFeriX Esports,4,4.00
33,EON,4,4.00
33,Ωrigin x DMD,4,4.00
33,ACE,4,4.00
33,Revenants,4,4.00
33,Meow Fc,4,4.00
33,F5 Black,4,4.00
33,ʏᴏꜱʜɪ,4,4.00
33,ZERO,4,4.00
33,CLUTCH V,4,4.00
33,Backboarders,4,4.00
33,Super secret team,4,4.00
33,Shikaku,4,4.00
33,Full Send Protocol,4,4.00
49,Aurora FC,1,1.00
49,Renascença,1,1.00
49,DX x MIST,1,1.00
49,JabberWock,1,1.00
