Rank,Team,points,formula
1,OVERDOZEE,100,1310.00
2,TEAM MOIRAI,80,1048.00
3,OVERDOZEE CIS,65,851.50
4,Ivory Mantis,55,720.50
5,DSQ Esports,45,589.50
5,Kin,45,589.50
7,Renascença,35,458.50
7,Winzy,35,458.50
9,Dark Instinct,25,327.50
9,ΔX x Black Swans,25,327.50
9,Madness,25,327.50
9,Str1ve eSports,25,327.50
13,Exotic Raccoons,18,235.80
13,Reborn Xi,18,235.80
13,Jinga,18,235.80
13,Kali's minions,18,235.80
17,FUCKLFT,12,157.20
17,AKI,12,157.20
17,Zenith,12,157.20
17,Exode,12,157.20
17,Dark Impulse,12,157.20
17,SUSLIK TEAM,12,157.20
17,WWLUGAN$K,12,157.20
17,ICE Gaming Group,12,157.20
25,F5 Black,8,104.80
25,ΔX Golden Requiem,8,104.80
25,Velzar,8,104.80
25,VOLARE,8,104.80
25,BENEATH REALITY,8,104.80
25,Anarchy Mayhem,8,104.80
25,Desire,8,104.80
25,𝔻𝕚𝕔𝕥𝕒𝕥𝕠𝕣𝕤,8,104.80
33,Cold Blooded,4,52.40
33,PXG,4,52.40
33,EON,4,52.40
33,False 5 Blue,4,52.40
33,TRIPLE SIX,4,52.40
33,Ravens,4,52.40
33,mini PEKKA,4,52.40
33,NoLimits Esports,4,52.40
33,ACE,4,52.40
33,Onryo,4,52.40
33,5wlan,4,52.40
33,Infinite,4,52.40
33,Insomnia,4,52.40
33,Aedern,4,52.40
33,WildCard,4,52.40
33,VALHALLA,4,52.40
49,Flow Riders,1,13.10
49,TENRYU,1,13.10
49,Zentrix Esports,1,13.10
49,SYNCΞD RFC,1,13.10
49,Young Bastards Club,1,13.10
49,Oro Team,1,13.10
49,Brussels JK,1,13.10
