Rank,Team,points,formula
1,Monarchy EC,100,1330.00
2,OVERDOZEE,80,1064.00
3,Morty's Minions,65,864.50
3,Str1ve eSports,65,864.50
5,Ivory Mantis,45,598.50
5,chicken sellers,45,598.50
5,Ωrigin,45,598.50
5,Team ANDREA,45,598.50
9,Karma,25,332.50
9,wildcats,25,332.50
9,Yurei,25,332.50
9,Majin Purple,25,332.50
9,PlayingDucksᴿᴹ,25,332.50
9,Senger X,25,332.50
9,Bum Squad,25,332.50
9,SPK x VOL,25,332.50
17,Winzy,12,159.60
17,ΞØN Esports,12,159.60
17,Beneath Reality,12,159.60
17,Golden Requiem,12,159.60
17,Black Rose,12,159.60
17,Right Click,12,159.60
17,Savage,12,159.60
17,PEKKA,12,159.60
17,ELEPHANT,12,159.60
17,Fly Kitsune,12,159.60
17,Clutch V,12,159.60
17,Mysteries Of Bangladesh,12,159.60
17,KIN EU,12,159.60
17,Focus,12,159.60
17,KOI,12,159.60
17,Team KØREX,12,159.60
33,ICE Gaming Group,4,53.20
33,SPARTA,4,53.20
33,FENIX,4,53.20
33,Justice,4,53.20
33,Lotus,4,53.20
33,La Pasión,4,53.20
33,Phantom Prodigies,4,53.20
33,Anarchy,4,53.20
33,BigTeam,4,53.20
33,Dimar Academy,4,53.20
33,GŁ Raikou,4,53.20
33,Travesaños ERC,4,53.20
33,Xeptonians,4,53.20
