Rank,Team,points,formula
1,VOLARE,100,100.00
2,wildcats,80,80.00
3,Exotic Raccoons,65,65.00
3,KIN,65,65.00
5,EON,45,45.00
5,MOIRAI,45,45.00
5,EOZ Ultima,45,45.00
5,ICE Gaming Group,45,45.00
9,Blind Owls,25,25.00
9,praxis,25,25.00
9,OVERDOZEE,25,25.00
9,Phantom Prodigies,25,25.00
9,Str1ve eSports,25,25.00
9,Brussels JK,25,25.00
9,La Pasión,25,25.00
9,Yurei,25,25.00
17,1Motive,12,12.00
17,K-ill S-treak Monkeys,12,12.00
17,Voidborn,12,12.00
17,X5,12,12.00
21,PackMiko E-sports,12,12.00
21,Majin Purple,12,12.00
21,ORIGIN,12,12.00
21,SOLID,12,12.00
25,Haki,8,8.00
25,Anarchy,8,8.00
25,Chill,8,8.00
25,Blind Spot,8,8.00
25,Dethrone,8,8.00
25,Ravens,8,8.00
25,Cold Blooded,8,8.00
25,Corvo,8,8.00
33,WildCard,4,4.00
33,Vortex,4,4.00
33,RΞFLEX FC,4,4.00
33,Feather 5,4,4.00
33,Zero,4,4.00
33,Royal Lions,4,4.00
33,Vortex,4,4.00
33,THE VOID,4,4.00
33,Dual Esports,4,4.00
33,Madness,4,4.00
33,PRAGMA CLAN,4,4.00
33,Clutch V,4,4.00
33,Ice Dragon,4,4.00
