Rank,Team,Points
1,Monarchy EC,3759.00
2,ORION ESPORTS,3353.00
3,100X35,2905.00
4,Str1ve eSports,2261.00
5,KIN,2254.00
6,Str1ve Corp,1995.00
7,OVERDOZEE,1603.00
8,NME,1449.00
9,SPK x FLR,1414.00
10,EVOLV,1281.00
11,wildcats,1071.00
12,VEX,924.00
13,Karma,812.00
14,Dark Knights,798.00
15,Majin Purple,791.00
16,Lockdown FC (Beneath),777.00
17,YUREI,735.00
18,ELEPHANT,693.00
19,Savage,679.00
20,Entropy,588.00
21,IGP™ Ultima Team,574.00
22,PHANTOM S,560.00
23,Desert elders,559.00
24,EON Esports,434.00
25,Casters,422.00
26,X5,420.00
27,Mysteries of Bangladesh,406.00
28,FLY KITSUNE,387.00
29,Reborn Xi,385.00
30,Sugar Pills,385.00
31,Nova Strikers,384.00
32,lux5,378.00
33,We Hate Crossing,364.00
34,Majin Exode,351.00
35,OVERDOZEE CIS,350.00
36,Syndicate,343.00
37,Right Click,280.00
38,Guardian Owls,277.00
39,SPARTA,276.00
40,FLOW RISING,272.00
41,VΞX,259.00
42,EON II,258.00
43,ASTRA eSports,252.00
44,PackMiko,252.00
45,sybau eu dogs,245.00
46,Classic V,202.00
47,Cold Blooded,186.00
48,1COIN,182.00
49,ASTRA,182.00
50,McFlurry LVRS,175.00
51,We Tried,175.00
52,PKM,161.00
53,NoLimits eSports,157.00
54,Minus Tempø,140.00
55,La plèbe,137.00
56,Les diables rouge,126.00
57,Morty's Minions,126.00
58,Fenix,117.00
59,Jingshen,112.00
60,PEKKA,112.00
61,XTZ,105.00
62,Drain Cats,102.00
63,ICE Gaming Group,95.00
64,Timón Holandés,92.00
65,Acqua Del Cane,84.00
66,Aziz Goat,84.00
67,Final Shape,84.00
68,I CAME TO GOON,84.00
69,New Team,84.00
70,Orion FC NA,84.00
71,SCATTER.,84.00
72,seths birthday bash (i feel bad so i didnt slime him out),84.00
73,Under Heaven,84.00
74,Vanilla Ice,84.00
75,White yokai esports,84.00
76,K7auzPool,80.00
77,White Griffin,80.00
78,RXM,79.00
79,Rainbow Raiders,77.00
80,Black Rose,72.00
81,Haze,70.00
82,PackMiko E-sports,65.00
83,Reborn eSports,65.00
84,Nomade Esport,64.00
85,Voidborn,60.00
86,Cross-X,56.00
87,Los Gatos,56.00
88,Madness,56.00
89,Team Dardan,56.00
90,Valhalla,56.00
91,ΞØN Esports,56.00
92,EGYPT,47.00
93,Old Stars,46.00
94,AVEX,45.00
95,EUS PROUD OWNERS,45.00
96,whatever,45.00
97,Ravens,43.00
98,Young Bastards Club,41.00
99,TIGER TRAP,40.00
100,Nexus5 Esports,36.00
101,Le Haze,35.00
102,Creation,33.00
103,Lotus,30.00
104,MKT NOVA,30.00
105,ᴘʀʌɢᴍʌ ᴄʟʌɴ,29.00
106,BLAZE ESPORTS,28.00
107,Jung-Brutal-Gutaussehend,28.00
108,Voltage,28.00
109,Backboarders,25.00
110,Bruschettari,25.00
111,Incognito Esports,25.00
112,UDG Vanguard,25.00
113,AXΞ,24.00
114,Brussels JK,24.00
115,Celestial Vortex,24.00
116,Crousty FC,21.00
117,Goten disciples,21.00
118,OVERDOZEE NA,21.00
119,PHOENIX,21.00
120,Raikou,21.00
121,Raikou FC,21.00
122,Roundabout Girl,21.00
123,Serenity,21.00
124,YOYO BOYS,21.00
125,KØREX ESPORTS,18.00
126,le bimbe di Panters,18.00
127,NewCreation,18.00
128,Tactical Reset,18.00
129,ΞØN II,18.00
130,AXE,12.00
131,Eclipse Wardens Alpha,12.00
132,Feather 5,12.00
133,FLARE Esports,12.00
134,WHITE YOKAI,12.00
135,just 4 fun,8.00
136,VYBE,8.00
137,VØID Esport,8.00
138,Zenial E-Sports,4.00
139,10 game,0.00
140,AliensDz,0.00
141,Azentric,0.00
142,Cannella Lovers,0.00
143,Cracked up,0.00
144,Eclips Wardens Sigma Crew,0.00
145,FC Sdah,0.00
146,Gen1 Esports,0.00
147,Goon Squad,0.00
148,Grup Canni,0.00
149,Il Corvo,0.00
150,Jessico calcetto,0.00
151,KAC,0.00
152,Loco V,0.00
153,Negros FC,0.00
154,Paysandu,0.00
155,Phantom Wolves,0.00
156,Rematchers United,0.00
157,River Fake,0.00
158,Shark Elite,0.00
159,syrax,0.00
160,TEAM ANCOS FC,0.00
161,The Cool Guys,0.00
162,Vkings,0.00
