Rank,Team,Points
1,OVERDOZEE,9467.00
2,VOLARE,6382.00
3,Kin,5132.00
4,ASTRA,4930.60
5,Team MOIRAI,4692.00
6,wildcats,4649.00
7,OVERDOZEE CIS,4629.00
8,Str1ve eSports,3919.00
9,Drain Cats,2713.60
10,Flow Riders,2125.00
11,EON Esports,1925.00
12,Blind Owls,1782.00
13,Reborn Xi,1721.60
14,Anarchy Raccoons,1712.20
15,Beneath Reality,1711.80
16,barsik,1597.00
17,Monaco x AY,1560.40
18,DeltaX Madness,1524.00
19,DSQ Esports,1269.40
20,PEKKA,1186.60
21,Zentrix Esports,952.80
22,X5,945.40
23,Dark Impulse,938.40
24,Origin x DMD,937.60
25,Renascença,912.20
26,ICE Gaming Group,884.60
27,NoLimits eSports,797.80
28,YUREI,786.00
29,AKI,783.00
30,Cold Blooded,745.40
31,Focus,725.40
32,Haki,690.00
33,After Hours,687.00
34,Brussels JK,684.80
35,PASTEL DE NATA,669.00
36,Classic V,619.60
37,Anarchy,595.00
38,Mist,579.80
39,EOZ Ultima,541.00
40,Death Cloud Esports,534.00
41,黄泉 YOMI eSports,526.40
42,Meow Fc,430.00
43,WildCard,412.00
44–45,Midnight,389.00
44–45,Virtual Dragons,389.00
46,Better Call Saul,349.00
47,ACE,323.00
48,Haze,321.40
49,NightFall,317.00
50,InFeriX Esports,316.60
51,Saviors,297.00
52,RXM,284.60
53,Bloody V,280.00
54,Fenix,261.20
55,Onryo,250.00
56,ZERO,237.80
57,The Old Firm,232.00
58,El Cid Campeonador,220.00
59,Supremacy,216.00
60,Ravens,179.40
61,DX x Madness,176.00
62,mini PEKKA,171.20
63,Vortex,170.80
64,Morty's Minions,161.60
65,VOLT Guardian Owls,154.00
66,La Pasión,147.00
67,PRAGMA CLAN,139.00
68,Orvex Esport,138.00
69,SOLID,133.00
70,Drain Dogs,127.80
71,Seraphim,126.40
72,ORION ESPORTS,126.00
73,El Toreador Comeback,125.00
74,Savage,123.60
75,LOS QUE PASHADA,121.60
76,1Motive,117.40
77,Revenants,109.00
78,VALNOX,105.60
79,Crybabys,105.00
80,PAS V,103.00
81–82,Bluelock,101.00
81–82,Skepsis Esports,101.00
83,Full Send Protocol,96.80
84–85,[FC Sdah] - Équipe A,93.00
84–85,Chill,93.00
86,Born To Evolve,91.40
87,Fivefold Demolition,89.00
88,FAD,88.00
89–91,Backstreet Moyes,85.00
89–91,JabberWock,85.00
89–91,Prodigy,85.00
92–94,Vanta Edge,84.00
92–94,Ðẞ5S,84.00
92–94,ΣILENT ΚΔᵏᵘʲΔ,84.00
95,Germany,80.00
96,The Simpson,76.00
97,Insomnia,73.00
98,1UP,70.40
99–105,Domestic puppies,68.00
99–105,F5 Black,68.00
99–105,False 5 Black,68.00
99–105,PROJECT ZENIN,68.00
99–105,Ravens ESP,68.00
99–105,SOL Invictus,68.00
99–105,Ultras,68.00
106,Backboarders,62.60
107,Phantom Prodigies,60.20
108,Bape,60.00
109,ΔX ΣILENT ΚΔᵏᵘʲΔ,58.00
110–112,CLUTCH V,56.00
110–112,la Ñ,56.00
110–112,Super Ultra Hyper Mega Secret Roster,56.00
113,SerapH eSports,52.80
114,Brussels JK Academy,52.00
115,Voidborn,47.20
116–117,Goal Digger,47.00
116–117,Project corvus,47.00
118,Bleu Dragon,45.00
119–120,Les Simpson,43.20
119–120,Team Sniper,43.20
121,Lotus,43.00
122–123,xanax,40.00
122–123,ʏᴏꜱʜɪ,40.00
124–126,FRAUDES,39.20
124–126,ni rematch ni match,39.20
124–126,The Espadas,39.20
127,UPPER90,38.00
128,Kill-Streak Monkey,37.00
129–131,eclipse refund,35.20
129–131,L9,35.20
129–131,Origin Ascend,35.20
132–133,anal,35.00
132–133,Morocco,35.00
134–135,aziz show clock,33.00
134–135,Revenants ˣ Limitless,33.00
136,SOL | Invictus,32.00
137,EXOTIC,30.00
138–140,Aura,29.00
138–140,Aurora FC,29.00
138–140,Revenant,29.00
141–143,AQUASERVICIO,28.00
141–143,Night Owls,28.00
141–143,OROSPULAR,28.00
144–149,EDEN,25.00
144–149,FC EBY,25.00
144–149,praxis,25.00
144–149,Sesso,25.00
144–149,Team Sniper Revive,25.00
144–149,ΛKI,25.00
150–153,Better Call Orço,21.00
150–153,C.A.A,21.00
150–153,GCC,21.00
150–153,RAVE,21.00
154,BJK Black,20.00
155–159,Aeterna Dragons,18.00
155–159,Avocado FC,18.00
155–159,Reborn Xi Tryout,18.00
155–159,SPOMPINATORI SPAZIALI,18.00
155–159,ZΞRØ,18.00
160–168,BigTeamZooo,17.00
160–168,Casull,17.00
160–168,CSHouse,17.00
160–168,FXB,17.00
160–168,H&H TC,17.00
160–168,HELLOKITY,17.00
160–168,Nigh Owls,17.00
160–168,The Clockwork Cherry,17.00
160–168,VVA,17.00
169–170,False 5 Blue,16.00
169–170,Young Bastards Club,16.00
171–172,Mitsune,12.80
171–172,Win Condition,12.80
173–182,Dick Riders,12.00
173–182,HzX,12.00
173–182,HÓRUS F.C.,12.00
173–182,Majin Purple,12.00
173–182,ORG NAME [ ],12.00
173–182,Random Squad,12.00
173–182,SYNCΞD RFC,12.00
173–182,Team Yakuza,12.00
173–182,WE’RE COMMING,12.00
