player,earnings
Dzosi,821.50
ReadYou,648.00
Koaza,633.50
Ryu,580.50
Alextp,551.50
Slayer,547.00
Shiningprince,546.75
Skula,546.75
Redzkar,539.00
Ricky,531.00
Kurdishh,525.50
Cosentino,500.50
Verso,461.00
Ilmii,394.00
Andrea,390.50
Gullit,366.00
Aziz,362.00
Dynasty,344.50
Hunuru,320.00
Kruxx,320.00
Trupky,320.00
Vox,312.00
Porkzzila,306.00
Zman,306.00
Sleepy,284.00
Vibe,280.75
Nacho,264.00
Negsy,254.00
Fedepic,245.75
Requ,245.00
Ghastly,237.75
Lexher,227.25
Adze,222.50
Die4u,200.50
Kami Sami Sama,200.50
Babalicious,199.00
Soemyz,195.50
Row,172.00
Lullosplaty,169.00
Egoista,168.50
Hotalexy,166.50
Snoww,163.00
Wanheda,163.00
Snowtee,154.50
Kenkkaie,148.50
Miru,148.50
Iko,144.00
Lolmaasteer,143.50
Boris,142.50
Benjkp,141.50
KS,139.00
J4gerrrr,135.50
Choco,126.50
CJ,126.50
Fluffy,126.50
Vendrik,120.50
Sorano,117.50
Sorminho,112.50
Pocho,107.50
Angolano,106.25
Kejay,106.25
Spixy,106.25
Vincenchus,106.25
Creed,100.00
Shikamaru,100.00
Vxie,100.00
Dylanne,96.50
Slee,96.50
Nyzen,94.00
Durado,90.00
Rayapt,90.00
GerryCampo,88.50
Noya,88.00
Naser,87.50
Pawliks,85.00
Vexis,85.00
Herby,84.00
Worko,77.00
Arctic,74.50
Legge,72.75
Zzzeeennn,70.50
Ton4uk,65.50
Askii,65.00
Chareza,63.50
Psykozz,61.00
Heeqzen,60.50
Lamskaz,60.00
Moow,60.00
Exoou,59.50
Kiri,59.50
Tobirama,54.00
Frozen,50.00
Jarm,50.00
Koda,50.00
Kurapika,50.00
Katakuri,48.50
Iena,46.00
Casual,45.50
Crypted,45.50
Forget,45.50
Ik1ng3,45.50
Mini,45.00
Kvn,42.75
Blessed,42.50
Mendoza,42.50
Tsubasa,40.00
Keda,37.00
Pharah,37.00
Sam,37.00
Yyorax,35.50
Abuse,35.00
Elijah,35.00
Nacht,35.00
Sayq,35.00
XD,35.00
Jayceso,34.50
Chokom,34.00
PatruiTank,34.00
Reje,34.00
Victortaku,34.00
Yatsu,34.00
Yeicavo,34.00
Zhuo,34.00
Drave,30.00
Higzter,30.00
Luckyster,30.00
Luke,30.00
Palm,30.00
Phoenix,30.00
Robbie,30.00
Suli,30.00
Lotus,25.50
Shika,25.50
MK,25.00
Camavinga,20.00
Enbé,20.00
Farox,20.00
Feng,20.00
John Pork,20.00
Kev,20.00
Vovo,20.00
Xeno,20.00
Jinxie,17.00
Squintea,17.00
225,15.00
Lokii9,15.00
Saitake,15.00
YameZer,15.00
Lynx,14.00
Sens,14.00
Baller,12.75
Corz,12.75
Ibbie,12.75
Matok,12.75
Noizu,12.75
Patinho,12.75
Rize,12.75
Starbi,12.75
Waderr,12.75
BloodMask,10.00
DavidG,10.00
Leitao,10.00
Orbiit,10.00
Pachii,10.00
Rangini,10.00
Hapf,8.50
Hydraxs,8.50
Jayce,8.50
Kend,8.50
Netro,8.50
Rale,8.50
