team,earnings
Overdozee,3162.50
Str1ve Esports,1600.00
DSQ Esports,1510.00
Volare,1445.00
100X35 Esports,1005.00
Death Cloud Esports,1000.00
Monarchy EC,962.50
Cheat and Shine,845.00
Yurei,742.50
Team Assault,685.00
The First 5,632.50
Kin,565.00
Scourge,531.25
After Hours,482.50
Orion Esports,450.00
Flow Riders,430.00
HzX,377.50
Classic V,297.50
Karma,250.00
Eclipse S,230.00
Overdozee CIS,227.50
Dark Knights,225.00
Astra,212.50
Black Swans,212.50
Karasuno,200.00
Syndicate,200.00
Devils FC,170.00
Colder Blooded,150.00
Reborn,150.00
Str1ve Corp,150.00
Wildcats,150.00
NME,125.00
Benelux,100.00
Celestra Esports,100.00
Mako,100.00
Team Moirai,100.00
The Fellas,100.00
Akillian FC,85.00
La Masia,75.00
Adventus,63.75
Goal Diggers,63.75
Hollow FC,63.75
Nexus Core,50.00
Phantoms,50.00
Pips,50.00
Trapani FC,50.00
Vex,50.00
Volt Esports,50.00
Aedern,42.50
Brest Esports,42.50
